movie_title,year,tagline,plot,cast,duration,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,avg_vote,total_votes,us_voters_votes,votes,votes_1,votes_2,votes_3,votes_4,votes_5,votes_6,votes_7,votes_8,votes_9,votes_10,popularity,director_score,actor_score,actress_score,tagline_sentiment,plot_sentiment,total_score,profitable,budget,revenue,budget_adj,revenue_adj
(500) Days of Summer,2009,It was almost like falling in love.,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.","Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloë Grace Moretz, Matthew Gray Gubler, Clark Gregg, Patricia Belcher, Rachel Boston, Minka Kelly, Charles Walker, Ian Reed Kesler, Darryl Alan Reed, Valente Rodriguez, Yvette Nicole Brown, Nicole Vicius",95,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.7,464451.0,70179.0,464451.0,3966.0,2352.0,3553.0,7154.0,16529.0,41565.0,102465.0,142134.0,80634.0,64099.0,3.244,7.067,6.746,6.308,0.7257,-0.128,7.825,1,7500000,60722734,7623003,61718613
10 Things I Hate About You,1999,How do I loathe thee? Let me count the ways.,"A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.","Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik, David Krumholtz, Andrew Keegan, Susan May Pratt, Gabrielle Union, Larry Miller, Daryl Mitchell, Allison Janney, David Leisure, Greg Jackson, Kyle Cease, Terence Heuston",97,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.3,289989.0,55518.0,289989.0,1713.0,1476.0,2537.0,5417.0,14758.0,39892.0,81702.0,67431.0,33357.0,41706.0,1.769,6.1,6.821,6.319,-0.4939,0.7184,7.275,1,16000000,53478166,20944845,70005745
10th & Wolf,2006,"The Intersection Where Family, Honor and Betrayal Collide.","A former street tough returns to his Philadelphia home after a stint in the military. Back on his home turf, he once again finds himself tangling with the mob boss who was instrumental in his going off to be a soldier.","James Marsden, Giovanni Ribisi, Brad Renfro, Piper Perabo, Dennis Hopper, Brian Dennehy, Lesley Ann Warren, Leo Rossi, Dash Mihok, Tommy Lee, Francesco Salvi, Val Kilmer, John Capodice, Billy Gallo, Ken Garito",107,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.3,6051.0,1590.0,6051.0,111.0,64.0,134.0,318.0,702.0,1555.0,1723.0,741.0,260.0,443.0,0.385,6.3,6.258,5.975,-0.2263,-0.128,6.575,0,8000000,143451,8653353,155166
12 Rounds,2009,Survive all 12,"Detective Danny Fisher discovers his girlfriend has been kidnapped by an ex-con tied to Fisher's past, and he'll have to successfully complete 12 challenges in order to secure her safe release.","John Cena, Aidan Gillen, Ashley Scott, Steve Harris, Brian White, Gonzalo Menendez, Taylor Cole, Kyle Clements, Peter Navy Tuiasosopo, Travis Davis, Nick Gomez, Brian Decaro, Rosalind Rubin, Billy Slaughter, Kim Collins",108,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.6,26953.0,4698.0,26953.0,1185.0,833.0,1383.0,2598.0,5231.0,6883.0,4470.0,1933.0,686.0,1751.0,0.826,6.113,5.553,6.025,0.0,0.8316,5.7,0,20000000,17280326,20328008,17563730
1408,2007,The only demons in room 1408 are those within you.,"A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.","John Cusack, Tony Shalhoub, Len Cariou, Isiah Whitlock Jr., Jasmine Jessica Anthony, Paul Birchard, Margot Leicester, Walter Lewis, Eric Meyers, David Nicholson, Holly Hayes, Alexandra Silber, Johann Urb, Andrew Lee Potts, Emily Harvey",104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,252014.0,44714.0,252014.0,2713.0,2328.0,4240.0,9025.0,21073.0,48606.0,75943.0,49640.0,19639.0,18807.0,0.918,6.75,6.615,6.08,0.0,-0.6486,6.875,1,25000000,94679598,26291714,99571558
17 Again,2009,Who says you're only young once?,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,"Zac Efron, Leslie Mann, Thomas Lennon, Matthew Perry, Tyler Steelman, Allison Miller, Sterling Knight, Michelle Trachtenberg, Adam Gregory, Hunter Parrish, Mario Cassem, Kat Graham, Tiya Sircar, Melissa Ordway, Melora Hardin",102,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,176232.0,25448.0,176232.0,3206.0,2350.0,4037.0,8749.0,21326.0,43603.0,46642.0,23454.0,9484.0,13381.0,1.733,6.6,6.117,6.155,0.0,0.296,6.575,1,20000000,136267476,20328008,138502321
1941,1979,Paranoia meets pandemonium.,Hysterical Californians prepare for a Japanese invasion in the days after Pearl Harbor.,"Dan Aykroyd, Ned Beatty, John Belushi, Lorraine Gary, Murray Hamilton, Christopher Lee, Tim Matheson, Toshirô Mifune, Warren Oates, Robert Stack, Treat Williams, Nancy Allen, Lucille Benson, Jordan Cohen, John Candy",118,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.8,30826.0,9673.0,30826.0,1048.0,956.0,1602.0,2943.0,4954.0,6849.0,5902.0,3314.0,1361.0,1897.0,0.388,7.386,6.116,6.273,-0.25,-0.0258,5.925,0,35000000,31755742,105159390,95411841
2 Guns,2013,"2 Guns, 1 Bank.","Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold.","Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos, Bill Paxton, Robert John Burke, James Marsden, Greg Sproles, Fred Ward, Patrick Fischler, Derek Solorsano, Edgar Arreola, Kyle Clements, Christopher Matthew Cook, Tim Bell",109,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.7,192738.0,23776.0,192738.0,1369.0,1052.0,2020.0,4884.0,15271.0,45594.0,70025.0,32997.0,9630.0,9896.0,2.197,6.65,6.702,5.925,0.0,-0.7506,6.8,1,61000000,131940411,57098034,123500625
2012,2009,We Were Warned.,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt, Tom McCarthy, Woody Harrelson, Danny Glover, Liam James, Morgan Lily, Zlatko Buric, Beatrice Rosen, Alexandre Haussmann, Philippe Haussmann, Johann Urb",158,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.8,347291.0,45456.0,347291.0,14783.0,11469.0,18240.0,30983.0,58853.0,80728.0,65937.0,34186.0,13728.0,18384.0,2.98,6.133,6.766,6.073,-0.2732,-0.7096,5.825,1,200000000,769653595,203280086,782276248
21,2008,They proved the Vegas Blackjack System was beatable...by beating the hell out of it.,"""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.","Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin, Donna Lows, Butch Williams, Ben Campbell",123,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,225698.0,37135.0,225698.0,1693.0,1281.0,2566.0,6173.0,16560.0,46904.0,79389.0,43451.0,14619.0,13062.0,1.377,6.12,6.633,5.764,-0.8225,0.5423,6.825,1,35000000,69823199,35447532,70716002
